GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
37.4993645003,105.1932045285,37.4999432975,105.1969918076,37.5057,105.203568,宁夏回族自治区中卫市沙坡头区政通东路5,-,中卫市
44.1656376223,87.5403391424,44.1667074729,87.5433056656,44.172445,87.549933,新疆维吾尔自治区五家渠市五家渠市长征东街603,-,五家渠市
41.8561244756,85.6779727175,41.8573911707,85.6804886296,41.863649,85.686858,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市,-,铁门关市
40.5468557348,81.2780012926,40.5474142407,81.2807800611,40.553264,81.287351,新疆维吾尔自治区阿拉尔市阿拉尔市,-,阿拉尔市
39.8644250995,79.0668042026,39.8649727642,79.069196733,39.87121,79.075615,新疆维吾尔自治区图木舒克市图木舒克市南湖北路3号,-,图木舒克市
43.9300070099,81.0181297969,43.9312085118,81.0208710145,43.937317,81.027349,新疆维吾尔自治区伊犁哈萨克自治州霍城县,-,可克达拉市
30.4048221365,112.8934436938,30.402106396,112.8990226886,30.408357,112.905477,湖北省潜江市潜江市章华南路18号,-,潜江市
0,0,0,0,0,0,-,-,中沙群岛的岛礁及其海域
18.751440811,109.1698955437,18.7498001478,109.1740046879,18.755871,109.18051,海南省乐东黎族自治县乐东黎族自治县人民路2,-,乐东黎族自治县
16.838953,112.340482,16.838953,112.340482,16.838953,112.340482,海南省三沙市三沙市,-,三沙市
33.4027579451,104.9191206748,33.4008189679,104.9220013673,33.406621,104.928578,甘肃省陇南市武都区,-,陇南市
18.5076526464,110.0337352354,18.5059993935,110.0379784901,18.512332,110.044464,海南省陵水黎族自治县陵水黎族自治县G223(建设路),-,陵水黎族自治县
36.0998730133,114.3868900688,36.1000420545,114.3929786833,36.10594,114.399503,河南省安阳市文峰区紫薇大道,-,安阳市
35.3044764993,113.9210947432,35.3038854532,113.926995603,35.30964,113.933597,河南省新乡市红旗区,-,新乡市
34.4154762671,115.650492656,34.41410002,115.6559750912,34.420202,115.662449,河南省商丘市梁园区府前路,-,商丘市
34.7483736297,113.6189450688,34.7471834095,113.6249854035,34.75344,113.631416,河南省郑州市中原区中原西路233号,-,郑州市
19.682939724,110.3545925849,19.6812022541,110.3589967721,19.68712,110.365536,海南省定安县定安县兴安大道,-,定安县
19.0972636864,108.6483784151,19.0954033159,108.651983304,19.101105,108.658567,海南省东方市东方市东府路,-,东方市
19.7403594315,110.0027566487,19.7384306339,110.0069677168,19.74435,110.013508,海南省澄迈县澄迈县文化北路108,-,澄迈县
19.5230176367,109.5769823445,19.5210458686,109.5809949292,19.527145,109.58746,海南省儋州市儋州市,-,儋州市
19.2267178167,109.4466920297,19.2251374963,109.450994293,19.231379,109.457466,海南省白沙黎族自治县白沙黎族自治县牙叉中路13,-,白沙黎族自治县
19.2995234494,109.0518886167,19.2979184886,109.0559763032,19.303998,109.062463,海南省昌江黎族自治县昌江黎族自治县,-,昌江黎族自治县
18.6424654754,109.6929025187,18.6406560136,109.697000934,18.64691,109.703485,海南省保亭黎族苗族自治县保亭黎族苗族自治县迎宾路,-,保亭黎族苗族自治县
35.6016726621,103.2077435116,35.6013280782,103.2099965672,35.607562,103.21639,甘肃省临夏回族自治州临夏市红园路15,-,临夏回族自治州
36.0615869885,103.831592499,36.0612834257,103.8340172158,36.067235,103.840524,甘肃省兰州市城关区南滨河东路651号,-,兰州市
34.7981088276,114.3021573122,34.7972058002,114.3079830702,34.802885,114.314595,河南省开封市开封市晋安路58,-,开封市
34.619057698,112.4467170504,34.6180510455,112.4529934195,34.624264,112.459424,河南省洛阳市洛龙区开元大道230号,-,洛阳市
32.1488519792,114.0851318116,32.1469080566,114.0910165782,32.153014,114.097484,河南省信阳市平桥区新五大道,-,信阳市
32.9925973408,112.5221088366,32.9906537602,112.5279989676,32.996561,112.534504,河南省南阳市卧龙区中州中路307号,-,南阳市
34.0368806277,113.8461344005,34.0353470168,113.8520298959,34.041433,113.858472,河南省许昌市魏都区建安大道1516号,-,许昌市
33.7675803178,113.1867059274,33.7661667049,113.1929930253,33.77205,113.199529,河南省平顶山市新华区市政大楼东西路,-,平顶山市
30.8401242884,106.1069621355,30.8378581583,106.1109908134,30.843783,106.117504,四川省南充市顺庆区,-,南充市
34.587412,105.731421,34.587412,105.731421,34.587412,105.731421,甘肃省天水市秦州区青年北路92号,-,天水市
31.210736931,107.4633116703,31.2086309943,107.4680055361,31.214307,107.474592,四川省达州市通川区永兴路2号,-,达州市
38.9251710994,100.4482818624,38.9258138379,100.4499931118,38.932065,100.456409,甘肃省张掖市甘州区南环路679,-,张掖市
31.4701176109,104.6763582416,31.4678481923,104.6789760776,31.473663,104.68556,四川省绵阳市涪城区绵兴东路98,-,绵阳市
39.7316118342,98.4935202738,39.7324534486,98.4941747328,39.738468,98.500681,甘肃省酒泉市肃州区富康路,-,酒泉市
29.342178451,104.7753203245,29.3393448457,104.7780239912,29.345585,104.784445,四川省自贡市自流井区丹桂大街188号,-,自贡市
35.7093006984,107.6382549689,35.7089043188,107.64299175,35.715216,107.649384,甘肃省庆阳市西峰区庆州西路,-,庆阳市
38.5196666869,102.1859721158,38.5201283633,102.1879945014,38.525821,102.194603,甘肃省金昌市金川区新华路82号,-,金昌市
35.5811839866,104.6233189388,35.5806429849,104.6259796901,35.586834,104.632416,甘肃省定西市安定区中华路30号,-,定西市
26.5857268079,101.717435423,26.5821673517,101.7190125619,26.588034,101.725544,四川省攀枝花市东区炳草岗大街7,-,攀枝花市
35.5434807617,106.6607864342,35.5430049667,106.6649867735,35.549232,106.671444,甘肃省平凉市崆峒区西大街141,-,平凉市
33.6272876677,114.6915243156,33.6257154162,114.6969691999,33.631829,114.703481,河南省周口市川汇区庆丰东路,-,周口市
33.5829800283,114.0110842711,33.5814651407,114.0169744021,33.58771,114.023419,河南省漯河市郾城区淮河路10号,-,漯河市
35.7467752505,114.2910772162,35.7466925212,114.2969888049,35.752359,114.303591,河南省鹤壁市淇滨区九州路91,-,鹤壁市
35.7618212161,115.0231226215,35.761808157,115.0289912948,35.767593,115.035593,河南省濮阳市华龙区人民路51号,-,濮阳市
35.2155356018,113.235648886,35.215027176,113.2420164502,35.220964,113.248549,河南省焦作市解放区人民路889号,-,焦作市
39.9031834643,116.4007533787,39.9045826842,116.4069921969,39.910924,116.413387,北京市东城区正义路2号,-,北京市
34.98451863,102.9092828054,34.9833979456,102.911010148,34.989139,102.917587,甘肃省甘南藏族自治州合作市当周街,-,甘南藏族自治州
30.4587650669,106.6292128826,30.4559906042,106.6329947973,30.461747,106.639554,四川省广安市广安区思源大道2号,-,广安市
31.8693811995,106.7408537452,31.8672035383,106.7449897115,31.872889,106.751582,四川省巴中市巴州区育才街8,-,巴中市
30.5355828916,105.5895932565,30.5328060894,105.5930103908,30.539097,105.599424,四川省遂宁市船山区,-,遂宁市
28.2631599501,117.0637394692,28.2600227831,117.0690019633,28.265787,117.075573,江西省鹰潭市月湖区府前路3号,-,鹰潭市
36.5446736927,104.1351288426,36.5447857525,104.1379666197,36.550827,104.144447,甘肃省白银市白银区广场北路,-,白银市
23.1317626641,113.2596645241,23.129093973,113.2649860268,23.135336,113.271429,广东省广州市越秀区吉祥路79号,-,广州市
31.2319316784,121.469459249,31.2300190509,121.4740029111,31.235929,121.48054,上海市黄浦区人民大道200号-1321室,-,上海市
39.0867306952,117.196709841,39.0877425929,117.2030183966,39.093669,117.20952,天津市河西区宾水道,-,天津市
32.0110017292,112.1158913347,32.009059376,112.1219853136,32.014797,112.128533,湖北省襄阳市襄城区檀溪路146号,-,襄阳市
28.7551207751,104.6406234887,28.7517018719,104.6429999259,28.758007,104.649403,四川省宜宾市翠屏区蜀南大道西段-8号,-,宜宾市
38.9831551927,106.3792875178,38.9839892106,106.3839974768,38.989683,106.390597,宁夏回族自治区石嘴山市大武口区香山路,-,石嘴山市
30.3935852383,114.8899566367,30.3909016088,114.8949991896,30.396571,114.901611,湖北省鄂州市鄂城区,-,鄂州市
29.565526745,106.5482828308,29.5627039443,106.5520164657,29.568996,106.558437,重庆市渝中区人民路232号,-,重庆市
30.1316128807,104.6255914686,30.1287687499,104.6279786346,30.134956,104.634437,四川省资阳市雁江区广场路9号,-,资阳市
37.9968572983,106.1945867984,37.9974111374,106.1990017144,38.003713,106.205367,宁夏回族自治区吴忠市利通区,-,吴忠市
41.7124057687,123.443442687,41.7148045131,123.4495473947,41.720915,123.455986,辽宁省沈阳市东陵区世纪路13,-,沈阳市
32.0603617958,118.7907996424,32.0583068428,118.7959977635,32.064652,118.802422,江苏省南京市玄武区北京东路42-2号,-,南京市
28.8747972457,105.4384130385,28.8717862569,105.4420179274,28.877668,105.448526,四川省泸州市江阳区江阳西路1号,-,泸州市
38.4860750644,106.2275815534,38.4865411966,106.231991105,38.492462,106.238496,宁夏回族自治区银川市金凤区,-,银川市
34.7733737116,111.1940251407,34.7724131858,111.2000279245,34.778326,111.20653,河南省三门峡市湖滨区崤山东路辅路,-,三门峡市
30.5952058577,114.2995568195,30.5927863203,114.3049856105,30.598467,114.311586,湖北省武汉市江岸区沿江大道188号,-,武汉市
33.0135701415,114.0160884662,33.0117484491,114.0219517752,33.017842,114.028467,河南省驻马店市驿城区京深线辅路,-,驻马店市
30.6522716787,104.0724954128,30.6498628703,104.0750113249,30.655823,104.08153,四川省成都市锦江区红星路4段-88号-附1号,-,成都市
34.3425803471,108.9353552803,34.3410346479,108.9400062307,34.347269,108.946465,陕西省西安市未央区凤城八路109号,-,西安市
30.2747033551,109.4831111111,30.2721785779,109.4880249181,30.277939,109.494593,湖北省恩施土家族苗族自治州恩施市舞阳大道一巷21-13号,-,恩施土家族苗族自治州
32.4376866745,105.840279405,32.4353143275,105.8440076755,32.441617,105.850419,四川省广元市利州区人民路7号,-,广元市
32.6313224137,110.7926707959,32.6291631431,110.7980030274,32.635063,110.804529,湖北省十堰市茅箭区北京中路8,-,十堰市
30.337644333,112.2332542605,30.3350979517,112.2389673657,30.340843,112.245519,湖北省荆州市沙市区江津西路285号,-,荆州市
31.9015758624,102.2233261858,31.8993445008,102.224983791,31.905512,102.231416,四川省阿坝藏族羌族自治州马尔康县达尔玛街6号,-,阿坝藏族羌族自治州
30.6941311497,111.2803506288,30.6916910497,111.2859886321,30.697446,111.292552,湖北省宜昌市伍家岗区沿江大道102号,-,宜昌市
31.1289578432,104.3953126534,31.1268271669,104.397989498,31.133116,104.404417,四川省德阳市旌阳区长江西路1段-37号,-,德阳市
30.2017072395,115.033628615,30.1992780187,115.0390037619,30.205208,115.045529,湖北省黄石市下陆区杭州东路1,-,黄石市
30.0134944913,103.0410103628,30.0109119568,103.0429791042,30.016792,103.049539,四川省雅安市雨城区正和路,-,雅安市
29.8436057805,114.316608342,29.8411304983,114.3219995821,29.847056,114.328519,湖北省咸宁市咸安区双鹤路16,-,咸宁市
30.0522284068,101.9604846124,30.0494054767,101.9619973783,30.055278,101.968545,四川省甘孜藏族自治州康定县光明路11号,-,甘孜藏族自治州
30.9272652429,113.9105141086,30.9247895631,113.9160019082,30.93069,113.922512,湖北省孝感市孝南区城站路30-6,-,孝感市
29.5548027112,103.7637710059,29.5520636247,103.7659865105,29.55794,103.77254,四川省乐山市市中区泊水街97号,-,乐山市
36.0160098142,106.2377919829,36.0158362399,106.2419976866,36.021619,106.248575,宁夏回族自治区固原市原州区,-,固原市
30.4561088072,114.8669118707,30.453459197,114.8719812457,30.459359,114.878489,湖北省黄冈市黄州区七一路10-55号,-,黄冈市
27.8850471918,102.2655289699,27.8816191587,102.2670256425,27.887752,102.273502,四川省凉山彝族自治州西昌市三岔口南路66号,-,凉山彝族自治州
31.6921263327,113.3767824964,31.690250466,113.3829944925,31.696516,113.389448,湖北省随州市曾都区迎宾大道9,-,随州市
30.3649970954,113.4489535039,30.3626134895,113.4550045674,30.368271,113.461591,湖北省仙桃市仙桃市钱沟路,-,仙桃市
31.0376229947,112.1941613004,31.0354259505,112.2000031516,31.041733,112.206389,湖北省荆门市东宝区象山大道70-8号,-,荆门市
27.8330748358,112.9385603206,27.8296120151,112.943967654,27.835703,112.950464,湖南省湘潭市岳塘区湘潭大道辅路,-,湘潭市
26.2565938317,105.9446310606,26.2530482282,105.9479784575,26.259253,105.954416,贵州省安顺市西秀区,-,安顺市
36.286795918,100.6187129111,36.2863980681,100.619995007,36.292103,100.62662,青海省海南藏族自治州共和县团结北路26,-,海南藏族自治州
27.8305987605,113.1281726916,27.8274724514,113.1340145428,27.833568,113.140474,湖南省株洲市天元区天台路60,-,株洲市
26.2577354786,107.5178192958,26.2543197702,107.5220089063,26.260616,107.5284,贵州省黔南布依族苗族自治州都匀市环东中路117号,-,黔南布依族苗族自治州
34.4728216798,100.2436736559,34.4713624012,100.2450201248,34.477193,100.251596,青海省果洛藏族自治州玛沁县团结路310号,-,果洛藏族自治州
29.3596251855,113.1230619813,29.3570817403,113.1290325786,29.363177,113.135488,湖南省岳阳市岳阳楼区金鹗中路135号,-,岳阳市
26.6512280693,106.6264396887,26.6475649979,106.6300070267,26.653324,106.63658,贵州省贵阳市乌当区林城东路7,-,贵阳市
36.5022545795,102.1019117413,36.5023235751,102.1039931355,36.508512,102.110441,青海省海东地区平安县平安大道208号,-,海东市
28.2323044791,112.9335132442,28.2287974682,112.9389527641,28.23489,112.94547,湖南省长沙市岳麓区俯前路208号,-,长沙市
27.7289171118,106.92318599,27.725384308,106.9269947268,27.731701,106.933426,贵州省遵义市汇川区人民路343,-,遵义市
35.5199780074,102.0141383949,35.519554488,102.0160052124,35.525804,102.022425,青海省黄南藏族自治州同仁县夏琼北路51,-,黄南藏族自治州
36.9545388536,100.8995431397,36.9545002703,100.9010022614,36.960664,100.90743,青海省海北藏族自治州海晏县同宝路4,-,海北藏族自治州
36.6172060345,101.7760771664,36.617137137,101.7780298146,36.623385,101.784446,青海省西宁市城中区南关街43,-,西宁市
27.7006283894,111.989489251,27.6972893544,111.9949770506,27.703208,112.001503,湖南省娄底市娄星区S209(湘中大道),-,娄底市
25.0909478587,104.9035481377,25.0878482581,104.9060104056,25.093968,104.91249,贵州省黔西南布依族苗族自治州兴义市遵义路,-,黔西南布依族苗族自治州
27.2422421467,111.462396958,27.2390372925,111.467992046,27.245271,111.474432,湖南省邵阳市大祥区城北路6号,-,邵阳市
29.0345154501,111.6933973772,29.0314997303,111.6989978296,29.03775,111.705449,湖南省常德市武陵区朗州路120号,-,常德市
27.3017512411,105.3017306849,27.2984048168,105.3049868866,27.304095,105.31158,贵州省毕节市七星关区,-,毕节市
28.5569611521,112.3492896733,28.553804293,112.3549813208,28.559712,112.361517,湖南省益阳市赫山区梓山西路8,-,益阳市
26.5967000742,104.8284610732,26.593097758,104.8310091718,26.598834,104.837553,贵州省六盘水市钟山区钟山西路47号,-,六盘水市
26.8969110319,112.5667475281,26.8933421304,112.5719939289,26.899575,112.578449,湖南省衡阳市蒸湘区解放大道16号,-,衡阳市
26.5870255537,107.9788736566,26.5834756918,107.9829935296,26.589704,107.989447,贵州省黔东南苗族侗族自治州凯里市北京路46号,-,黔东南苗族侗族自治州
33.0072772985,97.0062068462,33.0051315024,97.006614542,33.01098,97.013177,青海省玉树藏族自治州玉树县民主路14号,-,玉树藏族自治州
25.773562379,113.0095017237,25.7705722612,113.0149734301,25.776683,113.021458,湖南省郴州市北湖区五岭大道9号,-,郴州市
27.6937955766,109.1764156013,27.6905610364,109.181018272,27.696773,109.187436,贵州省铜仁市碧江区市府路1号附1号,-,铜仁市
37.3765208322,97.3688828677,37.3769983178,97.3696875304,37.382749,97.376299,青海省海西蒙古族藏族自治州德令哈市乌兰东路16号,-,海西蒙古族藏族自治州
28.3150704659,109.7342625654,28.311689202,109.7389939821,28.317368,109.74558,湖南省湘西土家族苗族自治州吉首市人民北路58号,-,湘西土家族苗族自治州
29.1197660294,110.4740787954,29.1169260509,110.4790355177,29.122817,110.485532,湖南省张家界市永定区南庄路2,-,张家界市
27.5725626096,109.9973187621,27.5692436855,110.0019911702,27.575161,110.008514,湖南省怀化市鹤城区府前路北,-,怀化市
26.4232108746,111.607741452,26.4196224378,111.6129824884,26.425864,111.619454,湖南省永州市冷水滩区逸云路1号-12楼,-,永州市
31.2994991173,120.5818049003,31.2973264306,120.5859891464,31.303565,120.592412,江苏省苏州市姑苏区三香路985号,-,苏州市
35.4167602174,119.5215507661,35.4165066326,119.5270224726,35.422839,119.533418,山东省日照市东港区北京路198号,-,日照市
23.355987358,116.6775279967,23.3533230655,116.6819750992,23.359091,116.688529,广东省汕头市金平区跃进路30号,-,汕头市
25.136166777,99.1697927107,25.1333064065,99.1707046618,25.139039,99.177276,云南省保山市隆阳区学府路,-,保山市
41.7626070604,86.1426158265,41.7641236262,86.1452873067,41.770286,86.151711,新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市巴音东路,-,巴音郭楞蒙古自治州
31.9830611593,120.8907837439,31.9808954382,120.8950001765,31.986549,120.901591,江苏省南通市崇川区世纪大道6号,-,南通市
36.2137251705,117.6711203049,36.2137035289,117.676972885,36.219471,117.683546,山东省莱芜市莱城区文化北路2号,-,莱芜市
22.5455145546,114.0528899134,22.5427748091,114.0579807461,22.548456,114.064552,广东省深圳市福田区新园路37号,-,深圳市
23.4029147933,104.2138889836,23.4002859666,104.2160025643,23.405995,104.222573,云南省文山壮族苗族自治州文山市华龙北路,-,文山壮族苗族自治州
41.1678916931,80.2583288861,41.1688729483,80.260496111,41.175029,80.266939,新疆维吾尔自治区阿克苏地区阿克苏市南大街5,-,阿克苏地区
31.4949543558,120.3074001161,31.4930607345,120.3119974224,31.49881,120.318582,江苏省无锡市滨湖区观山路,-,无锡市
37.5094889126,122.115963744,37.5105229455,122.1210223902,37.516431,122.127545,山东省威海市环翠区新威路15号,-,威海市
23.1131784052,114.4120294806,23.1106918618,114.4170022961,23.116359,114.42356,广东省惠州市惠城区云山西路6号,-,惠州市
23.3667954741,103.3729871399,23.3642840398,103.3750041611,23.369996,103.381552,云南省红河哈尼族彝族自治州蒙自市天马路67号,-,红河哈尼族彝族自治州
44.0098099698,87.3052927078,44.0111140233,87.3083772482,44.016853,87.314999,新疆维吾尔自治区昌吉回族自治州昌吉市延安北路67号,-,昌吉回族自治州
32.1904948238,119.4185353589,32.1886289334,119.423990972,32.194717,119.43049,江苏省镇江市润州区,-,镇江市
34.8108621499,117.3181026756,34.810056131,117.3239820778,34.815994,117.330539,山东省枣庄市薛城区,-,枣庄市
24.2908863901,116.1181755327,24.2882655732,116.1230035089,24.294177,116.129541,广东省梅州市梅江区新中路1号,-,梅州市
25.4931106508,103.7939659645,25.4901231954,103.7960044434,25.496407,103.802436,云南省曲靖市麒麟区文昌街80号,-,曲靖市
0,0,0,0,0,0,-,-,吐鲁番市
22.5815322443,113.0765347965,22.5788426278,113.0819743163,22.584604,113.088552,广东省江门市蓬江区白沙大道西1号-1幢,-,江门市
24.8707626627,102.8445958909,24.8676915821,102.8460067328,24.873998,102.852451,云南省昆明市呈贡区,-,昆明市
24.8131741868,113.5917905163,24.8101213413,113.5969886373,24.81588,113.603524,广东省韶关市浈江区风度北路129号,-,韶关市
25.6094589341,100.2668957242,25.6064258445,100.2679954299,25.612129,100.274583,云南省大理白族自治州大理市,-,大理白族自治州
44.3048877185,86.0774462046,44.306123952,86.0802839817,44.311975,86.08689,新疆维吾尔自治区石河子市石河子市北四东路,-,石河子市
45.5791065416,84.8868763043,45.5799175347,84.8892795636,45.585674,84.895898,新疆维吾尔自治区克拉玛依市克拉玛依区迎宾路60号,-,克拉玛依市
27.3415491737,103.7149334923,27.3381229452,103.7170148865,27.344083,103.72351,云南省昭通市昭阳区崇义街32,-,昭通市
43.8233387607,87.6151748524,43.824546353,87.618017994,43.830763,87.624438,新疆维吾尔自治区乌鲁木齐市水磨沟区,-,乌鲁木齐市
34.5976105299,119.2164668635,34.596590509,119.2220029429,34.602249,119.228623,江苏省连云港市新浦区朝阳东路69号,-,连云港市
31.8117500319,119.9702449619,31.8096897058,119.9749710142,31.815796,119.981484,江苏省常州市新北区龙城大道1280号,-,常州市
34.2082085551,117.2782382205,34.2069175878,117.2839727834,34.212666,117.290574,江苏省徐州市云龙区昆仑大道1号,-,徐州市
23.0494052021,112.4597240973,23.0468137027,112.4650026846,23.052889,112.471488,广东省肇庆市端州区城中路57号,-,肇庆市
22.8281401377,100.9648494721,22.8251389933,100.9660081864,22.830978,100.972567,云南省普洱市思茅区,-,普洱市
33.6115909198,119.0095511085,33.6101748371,119.0149638063,33.616295,119.021483,江苏省淮安市清河区健康西路64号,-,淮安市
21.2731891758,110.3545150187,21.2708047951,110.3590050366,21.276724,110.365554,广东省湛江市赤坎区跃进路67号,-,湛江市
32.3963012259,119.4075035549,32.3944305941,119.4129859901,32.400676,119.419423,江苏省扬州市邗江区文昌西路118,-,扬州市
36.4570220578,115.9793343791,36.4570781529,115.9849777469,36.462759,115.991588,山东省聊城市东昌府区东昌西路24号,-,聊城市
22.2739003728,113.570952851,22.2709021318,113.5760114972,22.276564,113.582557,广东省珠海市香洲区人民东路8号,-,珠海市
24.355062922,102.5457141237,24.3520232749,102.5469908552,24.35771,102.553557,云南省玉溪市红塔区聂耳路34号,-,玉溪市
39.4699036226,75.9869234264,39.4701231007,75.9898684919,39.476098,75.996395,新疆维吾尔自治区喀什地区喀什市解放北路46号,-,喀什地区
33.3507739619,120.1560114177,33.3493625824,120.1609788688,33.355101,120.167541,江苏省盐城市亭湖区世纪大道357号,-,盐城市
23.0243820777,113.1165154334,23.0218445002,113.122003233,23.027759,113.128509,广东省佛山市禅城区岭南大道北37号,-,佛山市
25.0484830019,101.5265073353,25.045479588,101.5280093723,25.051773,101.534412,云南省楚雄彝族自治州楚雄市丰胜路667,-,楚雄彝族自治州
43.9155582573,81.3209616573,43.9168026739,81.3239925535,43.922722,81.330542,新疆维吾尔自治区伊犁哈萨克自治州伊宁市解放南路65,-,伊犁哈萨克自治州
32.4571434762,119.9182596381,32.4549210278,119.9229910548,32.460675,119.929571,江苏省泰州市海陵区凤凰东路58号9楼,-,泰州市
25.820997819,98.8563738754,25.8176996542,98.8567762068,25.823708,98.863291,云南省怒江傈僳族自治州泸水县,-,怒江傈僳族自治州
22.9176526896,112.0396828112,22.9149796392,112.0449774918,22.920911,112.051512,广东省云浮市云城区府前路1号,-,云浮市
27.8225188241,99.701995566,27.8190224755,99.7030845429,27.825185,99.709531,云南省迪庆藏族自治州香格里拉县长征大道21,-,迪庆藏族自治州
23.6844595976,113.0505292813,23.6819788256,113.05597953,23.688229,113.062465,广东省清远市清城区人民二路18号,-,清远市
23.7460938985,114.6962987712,23.7434375001,114.7009872726,23.749685,114.707442,广东省河源市源城区沿江中路19号,-,河源市
23.8867991002,100.0877381507,23.8842142344,100.0889934245,23.890468,100.095443,云南省临沧市临翔区世纪路350,-,临沧市
22.5186702576,113.3875150108,22.5159794714,113.3929920816,22.522314,113.39942,广东省中山市中山市松苑路1号640房,-,中山市
33.9633352964,118.2694875722,33.9619872768,118.2749861007,33.96775,118.281575,江苏省宿迁市宿城区南河路1,-,宿迁市
23.0236914965,113.7467973637,23.0209761881,113.7519901204,23.027308,113.758418,广东省东莞市东莞市鸿福路99号,-,东莞市
26.858059591,100.2248715056,26.8545324987,100.2260194911,26.860657,100.232462,云南省丽江市古城区玉雪大道262,-,丽江市
23.6591230603,116.6186325047,23.6563714708,116.6229830477,23.662623,116.629466,广东省潮州市湘桥区枫春路,-,潮州市
41.8774571778,123.9522309085,41.8795819763,123.9579762002,41.885968,123.964373,辽宁省抚顺市顺城区临江东路,-,抚顺市
37.4345096242,116.3531277884,37.4353701121,116.3590179194,37.441308,116.365553,山东省德州市德城区东风东路1566号,-,德州市
23.9053894532,106.6145957319,23.9024813123,106.6179967729,23.908187,106.624588,广西壮族自治区百色市右江区向阳路6号,-,百色市
32.5035818513,80.1039715488,32.5011118219,80.1061870535,32.506866,80.112781,西藏自治区阿里地区噶尔县文化中路,-,阿里地区
41.4848759436,123.6801768079,41.4869778215,123.6859811082,41.492915,123.69251,辽宁省本溪市溪湖区,-,本溪市
37.4626933218,121.4427778653,37.463685466,121.4480081729,37.47004,121.454417,山东省烟台市莱山区芙蓉路6号,-,烟台市
